Concept,Cluster_ID
Balanced Forces,0
Contact Forces,0
Effects of Force,0
External Forces,0
Factors Affecting Friction,0
Forces on a System of Objects,0
Inertia of Motion,0
Inertia of Rest,0
Internal Forces,0
Kinetic Friction,0
Law of Inertia,0
Net Force,0
Non-Contact Forces,0
Static Friction,0
The Concept of Force,0
The Force of Friction,0
Unbalanced Forces,0
Acceleration due to gravity (g),1
Atomic Mass Unit (amu),1
Atomic Number (Z),1
Avogadro's Number (6.022 x 10^23),1
Bohr-Bury Rules (2n² Rule),1
"Energy Shells/Levels (K, L, M, N)",1
F = ma,1
Gravitational Force (F = mg),1
Gravitational Potential Energy (PE = mgh),1
Kinetic Energy (KE = half mv squared),1
Law of Constant Proportions (Law of Definite Proportions),1
Mass Number (A),1
Measuring Force (Spring Balance),1
Mechanical Advantage (MA = Load/Effort),1
Mechanical Advantage of Inclined Plane (MA = Length/Height),1
Number of Neutrons (A - Z),1
Position-Time (x-t) Graph,1
Power (P = W/t),1
Principle of Lever (F1 x d1 = F2 x d2),1
SI Unit of Force (Newton),1
SI Unit of Power (Watt),1
SI Unit of Work (Joule),1
Velocity-Time (v-t) Graph,1
Wave Speed Formula (v = f x wavelength),1
Work Done by a Constant Force (W = F x s),1
Chemical Changes,2
Classes of Levers,2
Conditions for Echo,2
Displacement,2
Distance,2
Echo,2
Echolocation in Bats and Dolphins,2
Electronic Configuration,2
Gold Foil Experiment,2
Inclined Plane,2
Lever,2
Physical Changes,2
Pitch,2
Reference Frame,2
Screw,2
Stethoscope,2
Thomson's Plum Pudding Model,2
Time Period,2
Wedge,2
Wheel and Axle,2
Concept of Nucleus,3
Concept of Work,3
Definition of 1 Newton,3
Mole Concept,3
Negative Work,3
Positive Work,3
Zero Work,3
Ancient Concept of Atom (Parmanu),4
Discovery of Electrons (Cathode Ray Experiment),4
Discovery of Neutrons (Chadwick),4
Discovery of Protons,4
"Isotopes of Hydrogen (Protium, Deuterium, Tritium)",4
Properties of Electron,4
Properties of Neutron,4
Properties of Proton,4
Quantum Mechanical Model (Introduction),4
"Subatomic Particles (Electron, Proton, Neutron)",4
Chemical Formula,5
Element Symbols and IUPAC Naming,5
Naming of Simple Ionic Compounds,5
Octet Rule,5
Origin and Sign Convention,5
Principle of Simple Machines,5
SONAR (Sound Navigation and Ranging),5
Simple Machines,5
Standard Atomic Notation,5
Symbols of Elements,5
Working Principle of SONAR,5
Writing Chemical Formulas,5
Bohr's Atomic Model,6
Dalton's Atomic Theory,6
Dalton's Atomic Theory,6
Limitation of Rutherford's Model,6
Postulates of Bohr's Model,6
Rutherford's Nuclear (Planetary) Model,6
Anions,7
Cations,7
Difference Between Isotopes and Isobars,7
Ionic Compounds,7
Ions,7
Isobars,7
Isotopes,7
Polyatomic Ions,7
Uses of Isotopes,7
Amplitude,8
Effect of Humidity on Speed of Sound,8
Effect of Temperature on Speed of Sound,8
Frequency,8
Human Ear: Structure and Working,8
Infrasonic Sound,8
Laws of Reflection of Sound,8
Loudness,8
Megaphone and Horn,8
Production of Sound,8
Propagation of Sound,8
Quality (Timbre) of Sound,8
Range of Hearing,8
Reflection of Sound,8
Sound Boards (Curved Reflectors),8
Sound Needs a Medium to Travel,8
Sound as a Mechanical Wave,8
Speed of Sound in Different Media,8
Ultrasonic Sound,8
Uses of Multiple Reflection of Sound,8
Acceleration,9
Average Speed,9
Average Velocity,9
Deceleration (Retardation),9
Effort and Load,9
Motion vs. Rest,9
Speed,9
Uniform Acceleration,9
Uniform vs. Non-Uniform Speed/Velocity,9
Velocity,9
Action-Reaction Pairs,10
Alpha Particles,10
Atomicity,10
Atoms,10
Compressions and Rarefactions,10
Covalent Compounds,10
Empty Space in an Atom,10
How Atoms Combine,10
Indivisibility of Atoms,10
Longitudinal Waves,10
Matter and Its Properties,10
Molecules,10
Molecules of Compounds,10
Molecules of Elements,10
Radioactivity,10
Reverberation,10
Transverse Waves,10
Wavelength,10
Conservation of Mechanical Energy,11
Energy,11
Forms of Energy,11
Mechanical Energy,11
Potential Energy,11
Work-Energy Theorem,11
Circular Motion,12
First Equation of Motion,12
Linear Motion,12
Newton's First Law of Motion,12
Newton's Second Law of Motion,12
Newton's Third Law of Motion,12
Non-Uniform Circular Motion,12
Oscillatory Motion,12
Relative Motion,12
Relative Velocity,12
Second Equation of Motion,12
Third Equation of Motion,12
Uniform Circular Motion,12
Fixed Pulley,13
Movable Pulley,13
Pulley,13
Pulley System (Block and Tackle),13
Valence Electrons,14
Valence Shell,14
Valency,14
Valency,14
Atomic Mass,15
Average Atomic Mass,15
Formula Unit Mass,15
Law of Conservation of Mass,15
Molar Mass,15
Molecular Mass,15
"Relationship between Mole, Mass, and Number of Particles",15
Applications of Ultrasound,16
Industrial Applications of Ultrasound,16
Ultrasound in Medicine (Ultrasonography),16
